Index,Workorder ID,Description,Status,Type,Equipment Description,WO Owner,Priority,Scheduled Start Date,Scheduled End Date,PM Compliance Min Date,PM Compliance Max Date,Original PM due date,Completed date
1,57545978,tshoot lightbar for afe 213 804022,In Progress,CM,AFE.SHOE.2; REBIN 54; RAT; 804022; GYR1-Pneumatic Divert-804022 CC965,EMMUHLY,5,6/28/2021,6/28/2021,,,,
2,58012605,belt rollled on itself.,In Progress,BRKD,MOD.3; INFEED 01; SEGMENT BELT CONV; 211010; GYR1-MDR-211010 CC205,MAUREYE,3,7/8/2021,7/8/2021,,,,
3,58373531,ripped lacing,In Progress,CM,AFE.SHOE.2; INFEED 07; SEGMENT BELT CONV; 800615; GYR1-MDR-800615 CC985,MAUREYE,5,7/15/2021,7/15/2021,,,,
4,58376878,side rail adjustment,In Progress,CM,AFE.SHOE.1; REBIN 10; ROLLER TRANSPORT CONV; 511000; GYR1-VBELT-511000 CC900,MAUREYE,5,7/15/2021,7/15/2021,,,,
5,54982727,bad scanner,In Progress,BRKD,AFE.SHOE.2; REBIN 64; SEGMENT BELT CONV; 815008; GYR1-MDR-815008 CC970,JEVLLAS,4,5/5/2021,5/5/2021,,,,
6,53661540,track belt at SLAM 1 takeaway.,In Progress,CM,Belt on Slider Conveyor - Decline,EMMUHLY,5,4/5/2021,4/5/2021,,,,
7,53665813,track belt at incline of pack line ,In Progress,CM,PCK.1; LANE 02; SLIDER BED CONV; 850160; GYR1-Belted Transport-850160 CC651,EMMUHLY,5,4/5/2021,4/5/2021,,,,
8,48508881,reflector replaced,In Progress,PR,AFE.SHOE.2; RETOTE 56; SEGMENT BELT CONV; 806068; GYR1-MDR-806068 CC965,,5,12/3/2020,12/3/2020,,,,
9,53709406,track conveyor belt,In Progress,CM,PCK.1; LANE 02; SLIDER BED CONV; 850160; GYR1-Belted Transport-850160 CC651,EMMUHLY,5,4/6/2021,4/6/2021,,,,
10,47340099,Parts being used by IOQ/Dematic,In Progress,BRKD,BUILDING SYSTEMS,,5,6/30/2021,6/30/2021,,,,
11,58627633,Magnet Missing,In Progress,CM,GYR1-KIVA Station AR.FLOR.A04.STN.4236,THMDNI,5,7/17/2021,7/17/2021,,,,
12,51948951,"AFE 2, lane 3, bad bearing/roller at conv. tail assy.",In Progress,CM,AFE.SHOE.2; TAKEAWAY 55-56; BELT ON ROLLER CONV; 805095; GYR1-Belted Transport-8,SMITHJYJ,3,2/24/2021,2/24/2021,,,,
13,60608255,Rear faring HPD door broken,In Progress,BRKD,GYR1-paKivaA01 HDU 559150,PORSHOTA,4,9/3/2021,9/3/2021,,,,
14,60608270,Rear faring HPD door broken,In Progress,BRKD,GYR1-paKivaA01 HDU 559698,PORSHOTA,4,9/3/2021,9/3/2021,,,,
15,54887499,Worn MDR on Bed 506073.,In Progress,FPM,AFE.SHOE.1; RETOTE 06; SEGMENT BELT CONV; 506073; GYR1-MDR-506073 CC930,SOFRANCI,4,5/23/2021,5/26/2021,,,,
16,67076043,replace and repair flex conveyor decant 3,In Progress,CM,GENERAL CONVEYANCE,KATONALE,3,2/9/2022,2/9/2022,,,,
17,63977368,light bar not operational,In Progress,CM,AFE.SHOE.1; REBIN 14; WALL 114,MOAUST,5,11/26/2021,11/26/2021,,,,
18,57202187,Catastrophic DU Spill,In Progress,BRKD,GYR1-paKivaA03 HDU 557414,PORSHOTA,4,6/21/2021,6/21/2021,,,,
19,64360974,EMPTY TOTE Knuckle ,In Progress,CM,ARSAW Station #326 - 3146 & 3148,,4,12/6/2021,12/6/2021,,,,
20,65539500,Amazon Control Cabinet 52Wk PM,In Progress,PM,AFE.2; REBIN (##); CONTROL CABINET; CC0970; CONTROL CABINET; CC0970; GYR1-CC-CC0,CMAYN,5,2/8/2022,2/8/2022,1/11/2022,3/8/2022,2/8/2022,
21,65982049,SL2 Sorter Discharge Package Detection,In Progress,PCA,SL2 High Rate Slat Sorter - MRS,,5,3/16/2022,6/8/2022,,,,
22,67520960,Trash compactor LOTO,In Progress,CM,"Equipment, Base Building",FELSOLON,4,2/20/2022,2/20/2022,,,,
23,67354337,Adjust Intralox Slam 304,In Progress,CM,PCK.1; SIR 304; ACTIVE ROLLER BELT SORTER; SL0410; Intralox Slam 304,MAUREYE,4,2/16/2022,2/16/2022,,,,2/16/2022
24,66084661,DEMATIC MODEL 2430-SL2 SORTER 13 WEEK PM,In Progress,PM,SL2 High Rate Slat Sorter - AFE 2,MAISONAL,4,2/21/2022,2/21/2022,2/12/2022,3/2/2022,2/21/2022,
